Time, Value
15:59:03, -45
15:59:03, -74
15:59:03, -91
15:59:03, -59
15:59:03, -24
15:59:03, -9
15:59:03, -18
15:59:03, -27
15:59:03, -37
15:59:03, -58
15:59:03, -60
15:59:03, -54
15:59:03, -149
15:59:03, -276
15:59:03, -309
15:59:03, -246
15:59:03, -188
15:59:03, -177
15:59:03, -181
15:59:03, -172
15:59:03, -162
15:59:03, -139
15:59:03, -83
15:59:03, -23
15:59:03, -10
15:59:03, -55
15:59:03, -100
15:59:03, -98
15:59:03, -41
15:59:03, -7
15:59:03, -8
15:59:03, -17
15:59:03, -21
15:59:03, -9
15:59:03, 5
15:59:03, 32
15:59:03, 43
15:59:03, 21
15:59:03, -11
15:59:03, -33
15:59:03, -24
15:59:03, -2
15:59:03, 13
15:59:03, 27
15:59:03, 33
15:59:03, 4
15:59:03, -11
15:59:03, -12
15:59:03, -8
15:59:03, 21
15:59:03, 68
15:59:03, 112
15:59:03, 115
15:59:03, 93
15:59:03, 73
15:59:03, 81
15:59:03, 92
15:59:03, 71
15:59:03, 33
15:59:03, 19
15:59:03, 36
15:59:03, 69
15:59:03, 90
15:59:03, 89
15:59:03, 82
15:59:03, 90
15:59:03, 122
15:59:03, 144
15:59:03, 107
15:59:03, 74
15:59:03, 80
15:59:03, 81
15:59:03, 56
15:59:03, 53
15:59:03, 81
15:59:03, 119
15:59:03, 121
15:59:03, 90
15:59:03, 99
15:59:03, 133
15:59:03, 123
15:59:03, 73
15:59:03, 37
15:59:03, 44
15:59:03, 65
15:59:03, 55
15:59:03, 28
15:59:03, 18
15:59:03, 22
15:59:03, 33
15:59:03, 45
15:59:03, 55
15:59:03, 72
15:59:03, 83
15:59:03, 81
15:59:03, 87
15:59:03, 112
15:59:03, 130
15:59:03, 120
15:59:03, 98
15:59:03, 83
15:59:03, 80
15:59:03, 51
15:59:03, 34
15:59:03, 40
15:59:03, 53
15:59:03, 68
15:59:03, 54
15:59:03, 36
15:59:03, 37
15:59:03, 65
15:59:03, 100
15:59:03, 100
15:59:03, 42
15:59:03, -1
15:59:03, 8
15:59:03, 40
15:59:03, 56
15:59:03, 42
15:59:03, 34
15:59:03, 24
15:59:03, -3
15:59:03, -25
15:59:03, -17
15:59:03, 6
15:59:03, 13
15:59:03, 20
15:59:03, 25
15:59:03, 43
15:59:03, 57
15:59:03, 33
15:59:03, 26
15:59:03, 61
15:59:03, 73
15:59:03, 72
15:59:03, 83
15:59:03, 85
15:59:03, 75
15:59:03, 73
15:59:03, 73
15:59:03, 32
15:59:03, -9
15:59:03, 16
15:59:03, 71
15:59:03, 100
15:59:03, 82
15:59:03, 25
15:59:03, -20
15:59:03, -17
15:59:03, -2
15:59:03, 3
